rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.16,0.21,94.8
2,2,Bayern Munich,German Bundesliga,3.44,0.35,94.44
3,3,Liverpool,Barclays Premier League,2.87,0.31,91.91
4,4,Barcelona,Spanish Primera Division,2.9,0.43,90.33
5,5,Real Madrid,Spanish Primera Division,2.67,0.37,89.49
6,7,Paris Saint-Germain,French Ligue 1,3.19,0.65,89.15
7,6,RB Leipzig,German Bundesliga,2.66,0.43,88.49
8,8,Borussia Dortmund,German Bundesliga,2.58,0.48,86.85
9,9,Manchester United,Barclays Premier League,2.38,0.4,86.23
10,10,Chelsea,Barclays Premier League,2.44,0.47,85.54
11,11,Juventus,Italy Serie A,2.44,0.54,84.28
12,12,Atletico Madrid,Spanish Primera Division,2.08,0.36,83.78
13,14,Atalanta,Italy Serie A,2.67,0.75,82.78
14,13,Bayer Leverkusen,German Bundesliga,2.45,0.67,81.7
15,15,Leicester City,Barclays Premier League,2.16,0.5,81.58
16,16,Getafe,Spanish Primera Division,1.8,0.31,81.31
17,17,Wolverhampton,Barclays Premier League,2.04,0.47,80.53
18,18,Sevilla FC,Spanish Primera Division,2.15,0.56,80.28
19,19,Internazionale,Italy Serie A,2.27,0.67,79.48
20,20,Everton,Barclays Premier League,2.1,0.64,77.72
21,21,Real Sociedad,Spanish Primera Division,2.12,0.68,77.04
22,22,Arsenal,Barclays Premier League,2.14,0.7,76.77
23,23,Zenit St Petersburg,Russian Premier Liga,2.0,0.62,76.75
24,24,Tottenham Hotspur,Barclays Premier League,2.2,0.75,76.59
25,25,Ajax,Dutch Eredivisie,2.54,0.99,76.46
26,26,Lazio,Italy Serie A,2.18,0.75,76.44
27,27,Borussia Monchengladbach,German Bundesliga,2.25,0.81,76.13
28,32,VfL Wolfsburg,German Bundesliga,2.05,0.69,75.67
29,28,AS Roma,Italy Serie A,2.17,0.8,75.15
30,29,FC Salzburg,Austrian T-Mobile Bundesliga,2.72,1.18,75.14
31,30,Napoli,Italy Serie A,2.11,0.76,75.14
32,31,FC Porto,Portuguese Liga,1.97,0.69,74.53
33,33,Olympiacos,Greek Super League,1.95,0.7,73.8
34,34,Flamengo,Brasileiro Série A,2.15,0.85,73.73
35,35,Lyon,French Ligue 1,1.8,0.61,73.46
36,36,Sheffield United,Barclays Premier League,1.76,0.59,73.32
37,37,Real Betis,Spanish Primera Division,2.01,0.76,73.31
38,38,Benfica,Portuguese Liga,2.11,0.84,73.27
39,39,Watford,Barclays Premier League,1.92,0.72,72.81
